Timestamp, Rotation x, Rotation y, Rotation z, Marker
40,2.4375,1.0625,-0.5625,0
60,3.125,1.0625,-0.125,0
80,2.5625,1.125,0.0625,0
100,1.375,0.875,0,0
120,0.75,0.8125,0.0625,0
120,0.9375,0.6875,0.125,0
160,0.9375,0.6875,-0.1875,0
180,0.875,0.6875,-0.5,0
200,0.4375,0.3125,-0.625,0
210,0.6875,0.3125,-0.5625,0
230,0.6875,0.6875,-0.875,0
250,0.9375,0.875,-0.9375,0
270,1.375,0.875,-0.8125,0
290,1.875,0.75,-0.75,0
310,1.75,0.625,-0.5625,0
330,1.3125,0.6875,-0.625,0
350,0.875,0.8125,-0.6875,0
370,0.4375,0.6875,-0.4375,0
390,0,0.4375,-0.3125,0
410,0,0.25,-0.375,0
430,-0.5625,0.125,0,0
450,-1.375,-0.1875,0,0
470,-1.375,-0.375,0.125,0
490,-0.5625,0,-0.1875,0
510,-0.3125,0.125,-0.3125,0
530,0.25,-0.0625,0.1875,0
550,0.3125,-0.0625,0.3125,0
570,-0.5625,0.1875,0.0625,0
590,-1.1875,0.3125,0.625,0
610,-1.75,0.25,1.375,0
630,-3.0625,-0.375,1.625,0
650,-4.625,-1,1.4375,0
670,-6.4375,-1.375,1.6875,0
690,-6.375,-1.375,1.75,0
710,-4.8125,-1,0.375,0
730,-2.0625,-1.0625,-1.1875,0
750,0.375,-0.8125,-2.75,0
770,3.3125,-0.375,-3.625,0
790,6.5625,0.6875,-3.875,0
810,7.9375,0.875,-3.75,0
830,7.3125,0.4375,-3.375,0
850,4.6875,0.3125,-2.0625,0
870,2.3125,0.5625,-0.625,0
890,0.6875,0.8125,0.375,0
910,-0.625,0.9375,0.5625,0
930,-1.5,0.25,0.625,0
950,-1.875,0.25,0.5625,0
970,-0.125,0.5,0.0625,0
990,1.9375,0.9375,-0.75,0
1010,1.9375,0.625,-1.125,0
1030,0.5625,-0.25,-1.3125,0
1050,-0.9375,-0.8125,-1.0625,0
1070,-1.3125,-0.4375,-0.3125,0
1090,-1.375,-0.5,0.3125,0
1110,-0.5625,-0.1875,0.25,0
1130,1.125,0.125,0.125,0
1150,2.5,0.375,-0.1875,0
1170,2.5625,0.5,-0.125,0
1190,3.5,0.5,1.1875,0
1210,5.0625,0.75,0.0625,0
1230,4.75,1.3125,-1.125,0
1250,2.875,1.125,-1.25,0
1270,3.125,1.4375,-0.8125,0
1290,2,1.375,-0.125,0
1310,0.25,1.0625,-0.375,0
1330,-0.3125,0.625,-0.5,0
1350,1.125,0.3125,-0.4375,0
1370,1.8125,0.6875,-0.5,0
1390,1.125,0.9375,-0.3125,0
1410,-0.3125,0.6875,0.375,0
1430,-1.25,0.5,0.0625,0
1450,-0.625,0.6875,-0.4375,0
1470,-0.375,0.75,-0.625,0
1490,-0.1875,0.625,-1.125,0
1510,0.75,0.5,-0.9375,0
1530,0.25,0.5,-0.4375,0
1550,-0.4375,0.25,-0.25,0
1570,-1.6875,0.125,-0.0625,0
1590,-1.5,-0.25,0.6875,0
1610,-0.25,-0.25,1.625,0
1630,0.625,0.1875,2.25,0
1650,-0.6875,0.5625,1.1875,0
1670,-2.4375,-0.1875,0.5,0
1690,-5.375,-2.6875,0.5,0
1710,-4.75,0.3125,-0.4375,0
1730,1.875,-2.125,3.4375,0
1750,-0.3125,-1.625,1.1875,0
1770,0.1875,-0.8125,-1.8125,0
1790,-0.125,0.625,-2.5,0
1810,-1.875,0.625,-2.125,0
1830,-0.9375,0.25,-0.875,0
1850,-0.875,0.625,-0.8125,0
1870,-1.8125,0.8125,-1,0
1890,-1.9375,0.75,-0.6875,0
1910,-0.375,0.9375,0.125,0
1930,-0.375,0.5,-0.125,0
1950,-0.375,0.5625,-0.3125,0
1970,-0.125,0.3125,-0.5,0
1990,1.125,-0.25,-0.6875,0
2010,1.625,-0.75,-0.375,0
2030,1.0625,-0.3125,-0.25,0
2050,0.625,-0.3125,-0.375,0
2070,0.6875,-0.125,0.25,0
2090,0.3125,0.125,0.4375,0
2110,-0.4375,0.375,0.25,0
2130,-1.0625,0.5625,-0.0625,0
2150,-1.0625,0.3125,0.3125,0
2170,-1.125,0.625,0.1875,0
2190,-0.5625,0.875,0.125,0
2200,0.625,1.125,-0.3125,0
2220,2,1.3125,-0.6875,0
2240,2.75,1.0625,-0.875,0
2260,2.25,0.75,-0.9375,0
2280,1.375,0.625,-0.9375,0
2300,0.375,0.5,-0.6875,0
2320,0.4375,0.5,-0.6875,0
2340,0.6875,0.375,-0.5625,0
2360,0.5625,0.25,-0.4375,0
2380,0.625,0.3125,-0.375,0
2400,0.75,0.3125,-0.125,0
2420,0.9375,0.625,-0.375,0
2440,0.6875,0.3125,-0.5,0
2460,1.5,0.3125,0.125,0
2480,2,0.5625,0,0
2500,1.125,0.625,-0.375,0
2520,0.625,0.4375,-0.5,0
2540,1.4375,0.4375,-0.25,0
2560,1.875,0.5,-0.375,0
2580,1.5,0.4375,-0.875,0
2600,1.1875,0.25,-1.25,0
2620,2,0.125,-1.1875,0
2640,2.75,0.3125,-0.9375,0
2660,2.3125,0.4375,-0.375,0
2680,0.8125,0.25,-0.125,0
2700,-1.1875,-0.125,0.75,0
2720,-3.3125,-0.625,1.6875,0
2740,-5.5,-0.9375,2.4375,0
2760,-7.125,-0.8125,2,0
2780,-6.1875,-0.875,1.4375,0
2800,-3.6875,-0.6875,0.375,0
2820,-0.125,0,-0.75,0
2840,3.125,0.5625,-2.0625,0
2860,5.875,1.375,-2.8125,0
2880,7.3125,1.5625,-2.5625,0
2900,6.4375,1.3125,-2.0625,0
2920,4.375,0.875,-1.5,0
2940,2.125,0.75,-0.8125,0
2960,0.8125,0.6875,-0.25,0
2980,0.4375,0.5625,0.3125,0
3000,-0.1875,0.125,0.625,0
3020,-1.375,-0.1875,0.875,0
3040,-2.25,-0.4375,0.5,0
3060,-2.375,-0.25,-0.25,0
3080,-1.8125,-0.125,-0.9375,0
3100,0.625,0.0625,-0.8125,0
3120,3.8125,0.625,-0.9375,0
3140,4.8125,1.1875,-1.625,0
3160,3.9375,1.0625,-1.8125,0
3180,2.875,0.9375,-1.25,0
3200,2.1875,0.9375,-0.4375,0
3220,1.125,0.875,-0.5625,0
3240,0.75,0.6875,-1,0
3260,1.25,0.375,-1,0
3280,1.9375,0.5,-1.125,0
3300,2.1875,0.3125,-1.125,0
3320,1,0.125,-1,0
3340,0,-0.0625,-0.75,0
3360,-0.3125,-0.0625,-0.5,0
3380,-0.6875,0.25,-0.25,0
3400,-0.8125,0.3125,-0.125,0
3420,-1.125,0.0625,-0.1875,0
3440,-0.6875,-0.0625,-0.0625,0
3460,-0.3125,0.3125,-0.0625,0
3480,0.75,1.5,-0.9375,0
3500,0.4375,0.5625,0.125,0
3520,0.4375,0.3125,-0.5625,0
3540,0.8125,0.4375,-1,0
3560,1,0.3125,-1.125,0
3580,1.0625,0.3125,-1.125,0
3600,1.125,0.3125,-1.1875,0
3620,1,0.3125,-1.1875,0
3640,1,0.3125,-1.0625,0
3660,1.25,0.5,-1.25,0
3680,2.0625,1,-1,0
3700,1.0625,0.5,-0.1875,0
3720,0.0625,0.375,-0.625,0
3740,-0.4375,0.1875,-0.0625,0
3760,-0.3125,0.3125,0.3125,0
3780,-1.1875,0.1875,0.0625,0
3800,-1.5,0,-0.1875,0
3820,-0.4375,0,-0.125,0
3840,0.375,0.5,-0.25,0
3860,1.375,0.75,-0.875,0
3880,2.4375,0.75,-1,0
3900,2.75,0.6875,-1.1875,0
3920,2.9375,0.625,-1.0625,0
3940,2.9375,1.25,-1.5,0
3960,1.6875,0.9375,0.1875,0
3980,1,0.5625,-0.125,0
4000,0,0.4375,-0.375,0
4020,-1.625,-0.1875,-0.625,0
4040,-2.375,-0.125,-0.875,0
4060,-0.75,0.5,-1.0625,0
4080,2.875,1.3125,-0.4375,0
4100,5.875,1.8125,0.125,0
4120,5.875,1.875,0.25,0
4140,3.6875,1.5,0.3125,0
4160,1.5,2.3125,-0.125,0
4180,-1.0625,1.3125,1.875,0
4200,-3.75,0.1875,2.125,0
4220,-4.3125,-0.0625,0.9375,0
4240,-4.3125,-0.3125,0.4375,0
4260,-2.5,-0.625,-1.25,0
4280,0,-0.6875,-1.8125,0
4300,2.25,-0.3125,-1.8125,0
4320,4,0.5,-1.75,0
4340,4.875,1.375,-1.9375,0
4360,5.5,1.875,-0.9375,0
4380,5.4375,2.25,1.375,0
4400,3.5,2.0625,1.3125,0
4420,0.4375,1.3125,1.625,0
4440,-0.9375,1.0625,1.5625,0
4460,-0.625,0.875,2,0
4480,-1.25,0.5625,2.375,0
4500,-3.8125,-0.1875,2.8125,0
4520,-7.3125,-1.0625,4,0
4540,-9.3125,-1.5,4.5625,0
4560,-9.4375,-1.8125,4.75,0
4580,-8.5,-2.1875,4.8125,0
4600,-7.5,-2.375,4.5,0
4620,-6.25,-2.5,4.0625,0
4640,-4.125,-2.1875,4.0625,0
4660,-2.5,-2.0625,3.6875,0
4680,-2.25,-1.625,3,0
4700,-3.75,-2.0625,2.5,0
4720,-4.625,-2.375,2,0
4740,-4.375,-2.3125,1,0
4760,-3.75,-2.25,0.8125,0
4780,-2.0625,-2,-0.0625,0
4800,-1.375,-2.0625,-0.6875,0
4820,-1.375,-2.125,-0.9375,0
4840,-1.9375,-2.375,-0.8125,0
4860,-4.4375,-2.75,-0.6875,0
4880,-7,-3.1875,-0.5625,0
4900,-8.625,-3.4375,0.375,0
4920,-8.875,-4.125,0.8125,0
4940,-9.75,-4.625,1.1875,0
4960,-10.625,-4.875,1.5625,0
4980,-10.125,-4.75,1.75,0
5000,-8.5,-3.9375,1.75,0
5020,-7.0625,-3.375,2.0625,0
5040,-5.25,-3,2.5,0
5060,-3.5625,-2.1875,1.9375,0
5080,-2.1875,-1.5,0.8125,0
5100,-0.9375,-1.3125,-0.1875,0
